,article,section,clause,topic,citation,transaction
0,Article 1,Section 1,Clause 1,Vesting Clause,ArtI.S1.1,"{'uuid': 'd06a2de8e2b3463a84dc7e87e60f62b8', 'name': 'Clause 1', 'topic': 'Vesting Clause', 'citation': 'ArtI.S1.1'}"
1,Article 1,Section 2,Clause 1,Qualifications Clause,ArtI.S2.C1,"{'uuid': 'b706db4df15648449bc91671fcef49dd', 'name': 'Clause 1', 'topic': 'Qualifications Clause', 'citation': 'ArtI.S2.C1'}"
2,Article 1,Section 2,Clause 2,Qualifications of Members of the House of Representatives,ArtI.S2.C2,"{'uuid': '8bf59a80e59b49fa98358be1d3a8bd9a', 'name': 'Clause 2', 'topic': 'Qualifications of Members of the House of Representatives', 'citation': 'ArtI.S2.C2'}"
3,Article 1 ,Section 2,Clause 3, Enumeration Clause,ArtI.S2.C3,"{'uuid': '9d04abb7cd0a4d258da529c135b2e37b', 'name': 'Clause 3', 'topic': '\xa0Enumeration Clause', 'citation': 'ArtI.S2.C3'}"
4,Article 1,Section 2,Clause 4,Vacancies,ArtI.S2.C4,"{'uuid': '3750d5a4ee424723a71c5585cf83c6e6', 'name': 'Clause 4', 'topic': 'Vacancies', 'citation': 'ArtI.S2.C4'}"
5,Article 1,Section 2,Clause 5,The Power of Impeachment,ArtI.S2.C5,"{'uuid': '1a631b6ac1984986b320eff3c4fdac48', 'name': 'Clause 5', 'topic': 'The Power of Impeachment', 'citation': 'ArtI.S2.C5'}"
6,Article 1,Section 3,Clause 1,Composition and Election,ArtI.S3.C1,"{'uuid': 'f9a31105241e4a0888104b3db7912135', 'name': 'Clause 1', 'topic': 'Composition and Election', 'citation': 'ArtI.S3.C1'}"
7,Article 1,Section 3,Clause 2,The Senate: Overview,ArtI.S3.C2,"{'uuid': '8a26612b83b74283a78d565561aa1245', 'name': 'Clause 2', 'topic': 'The Senate: Overview', 'citation': 'ArtI.S3.C2'}"
8,Article 1,Section 3,Clause 3,"Qualifications, Vice-President, Officers",ArtI.S3.C3,"{'uuid': '194f1d462a8b4651b8bc807ac34abbef', 'name': 'Clause 3', 'topic': 'Qualifications, Vice-President, Officers', 'citation': 'ArtI.S3.C3'}"
9,Article 1,Section 3,Clause 4,The Vice President: Rules,ArtI.S3.C4,"{'uuid': '2691246b831f4d4794fed4cc89ddbff4', 'name': 'Clause 4', 'topic': 'The Vice President: Rules', 'citation': 'ArtI.S3.C4'}"
10,Article 1,Section 3,Clause 5,Senate Officers and Pro Tempore,ArtI.S3.C5,"{'uuid': 'bf2995a7b6174228ae7ba62efadd8c0e', 'name': 'Clause 5', 'topic': 'Senate Officers and Pro Tempore', 'citation': 'ArtI.S3.C5'}"
11,Article 1,Section 3,Clause 6,The Power to Try Impeachments,ArtI.S3.C6,"{'uuid': '0387c97758f74dff8e4c7935158b312e', 'name': 'Clause 6', 'topic': 'The Power to Try Impeachments', 'citation': 'ArtI.S3.C6'}"
12,Article 1,Section 3,Clause 7,Judgment in Cases of Impeachment:,ArtI.S3.C7,"{'uuid': '5ce18296246e49a1bc40b1277c713b93', 'name': 'Clause 7', 'topic': 'Judgment in Cases of Impeachment:', 'citation': 'ArtI.S3.C7'}"
13,Article 1,Section 4,Clause 1,"Times, Places, and Manner of Elections",ArtI.S4.C1,"{'uuid': 'b76a69a1bd674ecab502f2c03c4bfa9f', 'name': 'Clause 1', 'topic': 'Times, Places, and Manner of Elections', 'citation': 'ArtI.S4.C1'}"
14,Article 1,Section 4,Clause 2,Time of Assembling,ArtI.S4.C2,"{'uuid': '8d51fa4a294645429929ec39f08d81e3', 'name': 'Clause 2', 'topic': 'Time of Assembling', 'citation': 'ArtI.S4.C2'}"
15,Article 1,Section 5,Clause 1,"Judging Elections, Quorum, Rules, Discipline, Journal, Adjournment",ArtI.S5.C1,"{'uuid': '0a57b8ac6d3946af8b09c294ba0ab270', 'name': 'Clause 1', 'topic': 'Judging Elections, Quorum, Rules, Discipline, Journal, Adjournment', 'citation': 'ArtI.S5.C1'}"
16,Article 1,Section 5,Clause 2,"Rule of Proceedings, Punishments expulsions",ArtI.S5.C2,"{'uuid': '2dda6d16397741fcbd8f81c4b64ee297', 'name': 'Clause 2', 'topic': 'Rule of Proceedings, Punishments expulsions', 'citation': 'ArtI.S5.C2'}"
17,Article 1,Section 5,Clause 3, Keeping a Journal of Proceedings,ArtI.S5.C3,"{'uuid': '549379bd144d4c6db8b0f4e1d5fcb8bb', 'name': 'Clause 3', 'topic': '\xa0Keeping a Journal of Proceedings', 'citation': 'ArtI.S5.C3'}"
18,Article 1,Section 5,Clause 4,Absentee House,ArtI.S5.C4,"{'uuid': '9ea078fbbdb34ddda3421e3a79b3c5ec', 'name': 'Clause 4', 'topic': 'Absentee House', 'citation': 'ArtI.S5.C4'}"
19,Article 1,Section 6,Clause 1,Compensation and Privileges for Members of Congress,ArtI.S6.C1,"{'uuid': '6f9a384b75a44fd7854332661772a9b0', 'name': 'Clause 1', 'topic': 'Compensation and Privileges for Members of Congress', 'citation': 'ArtI.S6.C1'}"
20,Article 1,Section 6,Clause 2,"Ineligibility, Incompatibility",ArtI.S6.C2,"{'uuid': 'b84adbb13e3b46ff932bc3420582bd52', 'name': 'Clause 2', 'topic': 'Ineligibility, Incompatibility', 'citation': 'ArtI.S6.C2'}"
21,Article 1,Section 7,Clause 1,The Lawmaking Process,ArtI.S7.C1,"{'uuid': 'ad7027fe18d84f66b3356e654d907c92', 'name': 'Clause 1', 'topic': 'The Lawmaking Process', 'citation': 'ArtI.S7.C1'}"
22,Article 1,Section 7,Clause 2,Enactment of Legislation,ArtI.S7.C2,"{'uuid': '2ce23cee1f844e59b4aef6da39f3ada9', 'name': 'Clause 2', 'topic': 'Enactment of Legislation', 'citation': 'ArtI.S7.C2'}"
23,Article 1,Section 7,Clause 3,"Passage of Orders, Resolutions, or Votes",ArtI.S7.C3,"{'uuid': 'c89cb5627e0e47a5b954ec0b1ecfb2d6', 'name': 'Clause 3', 'topic': 'Passage of Orders, Resolutions, or Votes', 'citation': 'ArtI.S7.C3'}"
24,Article 1,Section 8,Clause 1,Power to Tax and Spend,ArtI.S8.C1,"{'uuid': '102e1d57aaa049d38cf613dd6a5ad3ae', 'name': 'Clause 1', 'topic': 'Power to Tax and Spend', 'citation': 'ArtI.S8.C1'}"
25,Article 1,Section 8,Clause 2,Borrowing Power,ArtI.S8.C2,"{'uuid': '8739e1cdaf4c416cbcebefa3f9be53f5', 'name': 'Clause 2', 'topic': 'Borrowing Power', 'citation': 'ArtI.S8.C2'}"
26,Article 1,Section 8,Clause 3,Power to Regulate Commerce,ArtI.S8.C3,"{'uuid': '8d09825c3da049e0af7cecfe904ce26d', 'name': 'Clause 3', 'topic': 'Power to Regulate Commerce', 'citation': 'ArtI.S8.C3'}"
27,Article 1,Section 8,Clause 4,Naturalization and Bankruptcy,ArtI.S8.C4,"{'uuid': 'a69c4913c5834fbb860d71ac1329707b', 'name': 'Clause 4', 'topic': 'Naturalization and Bankruptcy', 'citation': 'ArtI.S8.C4'}"
28,Article 1,Section 8,Clause 5,Coinage Power,ArtI.S8.C5,"{'uuid': 'a766acf7db294d0b96dfe6e488f6afdb', 'name': 'Clause 5', 'topic': 'Coinage Power', 'citation': 'ArtI.S8.C5'}"
29,Article 1,Section 8,Clause 6,Counterfeiting Power,ArtI.S8.C6,"{'uuid': '313751c2178e486f89889df73adb2e27', 'name': 'Clause 6', 'topic': 'Counterfeiting Power', 'citation': 'ArtI.S8.C6'}"
30,Article 1,Section 8,Clause 7,Postal Power,ArtI.S8.C7,"{'uuid': '9df188ef8b784ffbb96a93b4fc86a543', 'name': 'Clause 7', 'topic': 'Postal Power', 'citation': 'ArtI.S8.C7'}"
31,Article 1,Section 8,Clause 8,Copyrights and Patents,ArtI.S8.C8,"{'uuid': 'bc9b357790c24b1ebfcd47589b5c542b', 'name': 'Clause 8', 'topic': 'Copyrights and Patents', 'citation': 'ArtI.S8.C8'}"
32,Article 1,Section 8,Clause 9,Creation of Courts,ArtI.S8.C9,"{'uuid': '7524e1d603f04bb68bf35ae1459961a3', 'name': 'Clause 9', 'topic': 'Creation of Courts', 'citation': 'ArtI.S8.C9'}"
33,Article 1,Section 8,Clause 10,Maritime Crimes,ArtI.S8.C10,"{'uuid': 'd2cb3ffe325441e4a291bdf86044e672', 'name': 'Clause 10', 'topic': 'Maritime Crimes', 'citation': 'ArtI.S8.C10'}"
34,Article 1,Section 8,Clause 11,The War Power,ArtI.S8.C11,"{'uuid': '7db574130ff440829088832a92b093be', 'name': 'Clause 11', 'topic': 'The War Power', 'citation': 'ArtI.S8.C11'}"
35,Article 1,Section 8,Clause 12,The War Power,ArtI.S8.C12,"{'uuid': '2f51a6b02c134aa08b5e898f424d78dc', 'name': 'Clause 12', 'topic': 'The War Power', 'citation': 'ArtI.S8.C12'}"
36,Article 1,Section 8,Clause 13,The War Power,ArtI.S8.C13,"{'uuid': 'd8fa1c659d834a7f8e9500061684b43b', 'name': 'Clause 13', 'topic': 'The War Power', 'citation': 'ArtI.S8.C13'}"
37,Article 1,Section 8,Clause 14,The War Power,ArtI.S8.C14,"{'uuid': '6074b1b0111e4f5cb93e5eafde91d320', 'name': 'Clause 14', 'topic': 'The War Power', 'citation': 'ArtI.S8.C14'}"
38,Article 1,Section 8,Clause 15,The Militia,ArtI.S8.C15,"{'uuid': '947029b8c87746fc9507deb972cceaca', 'name': 'Clause 15', 'topic': 'The Militia', 'citation': 'ArtI.S8.C15'}"
39,Article 1,Section 8,Clause 16,The Militia,ArtI.S8.C16,"{'uuid': '458a9d06295d4c738a4f8fee46beb7d1', 'name': 'Clause 16', 'topic': 'The Militia', 'citation': 'ArtI.S8.C16'}"
40,Article 1,Section 8,Clause 17,District of Columbia; Federal Property,ArtI.S8.C17,"{'uuid': 'e556213cb9ca42b695f3a695abce7cc9', 'name': 'Clause 17', 'topic': 'District of Columbia; Federal Property', 'citation': 'ArtI.S8.C17'}"
41,Article 1,Section 8,Clause 18,Necessary and Proper Clause,ArtI.S8.C18,"{'uuid': '9d030d26714445bfb72fb346b778742c', 'name': 'Clause 18', 'topic': 'Necessary and Proper Clause', 'citation': 'ArtI.S8.C18'}"
42,Article 1,Section 9,Clause 1,Importation of Slaves,ArtI.S9.C1,"{'uuid': '213e60d109c34ddb97ca4fabd18335de', 'name': 'Clause 1', 'topic': 'Importation of Slaves', 'citation': 'ArtI.S9.C1'}"
43,Article 1,Section 9,Clause 2,Habeas Corpus Suspension,ArtI.S9.C2,"{'uuid': '11efbd6ec94e4647b50e8c03530600cd', 'name': 'Clause 2', 'topic': 'Habeas Corpus Suspension', 'citation': 'ArtI.S9.C2'}"
44,Article 1,Section 9,Clause 3,Bills of Attainder and ex post facto Laws,ArtI.S9.C3,"{'uuid': '05df826df8684919859a9a55bfaf9880', 'name': 'Clause 3', 'topic': 'Bills of Attainder and ex post facto Laws', 'citation': 'ArtI.S9.C3'}"
45,Article 1,Section 9,Clause 4,Taxes,ArtI.S9.C4,"{'uuid': 'd9d5a05394684a628db302668f0227cf', 'name': 'Clause 4', 'topic': 'Taxes', 'citation': 'ArtI.S9.C4'}"
46,Article 1,Section 9,Clause 5,Duties on Exports from States,ArtI.S9.C5,"{'uuid': '4bf73147a1854cc4b4c79b90a8ec36b3', 'name': 'Clause 5', 'topic': 'Duties on Exports from States', 'citation': 'ArtI.S9.C5'}"
47,Article 1,Section 9,Clause 6,Preference to Ports,ArtI.S9.C6,"{'uuid': '8e9d24047fd344cda8d6bdc4c710d664', 'name': 'Clause 6', 'topic': 'Preference to Ports', 'citation': 'ArtI.S9.C6'}"
48,Article 1,Section 9,Clause 7,Appropriations and Accounting of Public Money,ArtI.S9.C7,"{'uuid': 'f0b2b6ef65d844269452b695dc34fc8c', 'name': 'Clause 7', 'topic': 'Appropriations and Accounting of Public Money', 'citation': 'ArtI.S9.C7'}"
49,Article 1,Section 9,Clause 8,Titles of Nobility; Presents,ArtI.S9.C8,"{'uuid': 'faef05bfa8ce4553b05e1135a14b1614', 'name': 'Clause 8', 'topic': 'Titles of Nobility; Presents', 'citation': 'ArtI.S9.C8'}"
50,Article 1,Section 10,Clause 1,"Treaties, Coining Money, Impairing Contracts, etc.",ArtI.S10.C1,"{'uuid': 'eecc2e4933f84e37994333aeda91f77a', 'name': 'Clause 1', 'topic': 'Treaties, Coining Money, Impairing Contracts, etc.', 'citation': 'ArtI.S10.C1'}"
51,Article 1,Section 10,Clause 2,Duties on Exports and Imports,ArtI.S10.C2,"{'uuid': 'a3f878ada5804a9e820e2cc669ad21e5', 'name': 'Clause 2', 'topic': 'Duties on Exports and Imports', 'citation': 'ArtI.S10.C2'}"
52,Article 1,Section 10,Clause 3,Tonnage Duties and Interstate Compacts,ArtI.S10.C3,"{'uuid': '66812a7aff264ca5bbd7340e506ecf8d', 'name': 'Clause 3', 'topic': 'Tonnage Duties and Interstate Compacts', 'citation': 'ArtI.S10.C3'}"
53,Article 2,Section 1,Clause 1,Powers and Term of the President,ArtII.S1.C1,"{'uuid': 'cafe90a9c2cd446fbbd8da80b2d01ba0', 'name': 'Clause 1', 'topic': 'Powers and Term of the President', 'citation': 'ArtII.S1.C1'}"
54,Article 2,Section 1,Clause 2,Presidential Electors,ArtII.S1.C2,"{'uuid': '1b88d380d25d4d1f94a04b5151f6754d', 'name': 'Clause 2', 'topic': 'Presidential Electors', 'citation': 'ArtII.S1.C2'}"
55,Article 2,Section 1,Clause 3,Presidential Electoral Rules,ArtII.S1.C3,"{'uuid': '09c48de95d1d4348b89ae4224e7789bb', 'name': 'Clause 3', 'topic': 'Presidential Electoral Rules', 'citation': 'ArtII.S1.C3'}"
56,Article 2,Section 1,Clause 4,Day of Election,ArtII.S1.C4,"{'uuid': '9862cb1618fb44d0a4ef5966ab52c9bb', 'name': 'Clause 4', 'topic': 'Day of Election', 'citation': 'ArtII.S1.C4'}"
57,Article 2,Section 1,Clause 5,Qualifications for the Presidency,ArtII.S1.C5,"{'uuid': '4c34b13dd38341f6bfe3d8d60d028892', 'name': 'Clause 5', 'topic': 'Qualifications for the Presidency', 'citation': 'ArtII.S1.C5'}"
58,Article 2,Section 1,Clause 6, Presidential Succession,ArtII.S1.C6,"{'uuid': 'cf10bcd414344d129c4002dce408c5e7', 'name': 'Clause 6', 'topic': '\xa0Presidential Succession', 'citation': 'ArtII.S1.C6'}"
59,Article 2,Section 1,Clause 7,Compensation and Emoluments,ArtII.S1.C7,"{'uuid': 'b030877f20b84f8f97103d7773e34492', 'name': 'Clause 7', 'topic': 'Compensation and Emoluments', 'citation': 'ArtII.S1.C7'}"
60,Article 2,Section 1,Clause 8,Oath of Office,ArtII.S1.C8,"{'uuid': 'b4dfb9e7ebca418d8ac17adf85b9cc7b', 'name': 'Clause 8', 'topic': 'Oath of Office', 'citation': 'ArtII.S1.C8'}"
61,Article 2,Section 2,Clause 1,Commander-in-Chief; Presidential Advisers; Pardons,ArtII.S2.C1,"{'uuid': '560f6b93958d439ba5b5a84e1b0b58a9', 'name': 'Clause 1', 'topic': 'Commander-in-Chief; Presidential Advisers; Pardons', 'citation': 'ArtII.S2.C1'}"
62,Article 2,Section 2,Clause 2,Treaties and Appointment of Officers,ArtII.S2.C2,"{'uuid': '10f74d28f70b4cc084d0c02ca8095e28', 'name': 'Clause 2', 'topic': 'Treaties and Appointment of Officers', 'citation': 'ArtII.S2.C2'}"
63,Article 2,Section 2,Clause 3,Vacancies During Recess of Senate,ArtII.S2.C3,"{'uuid': '6570af2274874d63b257d0ebded982f3', 'name': 'Clause 3', 'topic': 'Vacancies During Recess of Senate', 'citation': 'ArtII.S2.C3'}"
64,Article 2,Section 3,Clause 1,"Legislative, Diplomatic, and Law Enforcement Duties of the President",ArtII.S3.1,"{'uuid': '2e2135c90cc34a97a056108a8f0446f2', 'name': 'Clause 1', 'topic': 'Legislative, Diplomatic, and Law Enforcement Duties of the President', 'citation': 'ArtII.S3.1'}"
65,Article 2,Section 4,Clause 1,Impeachment,ArtII.S4.1,"{'uuid': 'd205a34a9f7a4b58ad9d5580ecd6412f', 'name': 'Clause 1', 'topic': 'Impeachment', 'citation': 'ArtII.S4.1'}"
66,Article 3,Section 1,Clause 1,Judicial Vesting Clause,ArtIII.S1.1,"{'uuid': 'cc7f403d9550452da7646b18f6fe1b8c', 'name': 'Clause 1', 'topic': 'Judicial Vesting Clause', 'citation': 'ArtIII.S1.1'}"
67,Article 3,Section 2,Clause 1,Cases and Controversies; Grants of Jurisdiction,ArtIII.S2.C1,"{'uuid': '7447421c5d364eb09a59d770b7f3bd80', 'name': 'Clause 1', 'topic': 'Cases and Controversies; Grants of Jurisdiction', 'citation': 'ArtIII.S2.C1'}"
68,Article 3,Section 2,Clause 2,Original and Appellate Jurisdiction,ArtIII.S2.C2,"{'uuid': 'caeef849f08443fe9ac35fdedaa4543f', 'name': 'Clause 2', 'topic': 'Original and Appellate Jurisdiction', 'citation': 'ArtIII.S2.C2'}"
69,Article 3,Section 2,Clause 3,Trial by Jury,ArtIII.S2.C3,"{'uuid': '23ec9bd99e894763aa248c6f81883593', 'name': 'Clause 3', 'topic': 'Trial by Jury', 'citation': 'ArtIII.S2.C3'}"
70,Article 3,Section 3,Clause 1,Definition and Limitations,ArtIII.S3.C1,"{'uuid': 'b328fbfb773440a4985925b6c5e8668d', 'name': 'Clause 1', 'topic': 'Definition and Limitations', 'citation': 'ArtIII.S3.C1'}"
71,Article 3,Section 3,Clause 2,Punishment,ArtIII.S3.C2,"{'uuid': '4b53eb25071b4a11b79a1216f3cbc3d4', 'name': 'Clause 2', 'topic': 'Punishment', 'citation': 'ArtIII.S3.C2'}"
72,Article 4,Section 1,Clause 1,Full Faith and Credit,ArtIV.S1,"{'uuid': '9283f95b01a642d98f97a2f2d579fd48', 'name': 'Clause 1', 'topic': 'Full Faith and Credit', 'citation': 'ArtIV.S1'}"
73,Article 4,Section 2,Clause 1,State Citizenship: Privileges and Immunities,ArtIV.S2.C1,"{'uuid': 'e67275b633e1429d9f20305c4d52a55d', 'name': 'Clause 1', 'topic': 'State Citizenship: Privileges and Immunities', 'citation': 'ArtIV.S2.C1'}"
74,Article 4,Section 2,Clause 2,Interstate Renditions Clause,ArtIV.S2.C2,"{'uuid': '261e4231bad244c3a44d2478052796f2', 'name': 'Clause 2', 'topic': 'Interstate Renditions Clause', 'citation': 'ArtIV.S2.C2'}"
75,Article 4,Section 2,Clause 3,Fugitive Slave Clause,ArtIV.S2.C3,"{'uuid': '67239d6bb867448a945f3de7003574f6', 'name': 'Clause 3', 'topic': 'Fugitive Slave Clause', 'citation': 'ArtIV.S2.C3'}"
76,Article 4,Section 3,Clause 1,Admission of New States to Union,ArtIV.S3.C1,"{'uuid': '0a6379cace7d48daa160bd7b62e68737', 'name': 'Clause 1', 'topic': 'Admission of New States to Union', 'citation': 'ArtIV.S3.C1'}"
77,Article 4,Section 3,Clause 2,Federal Power Over Territories and Property,ArtIV.S3.C2,"{'uuid': '2b4769c98f19451da0ff940e6ec2aa31', 'name': 'Clause 2', 'topic': 'Federal Power Over Territories and Property', 'citation': 'ArtIV.S3.C2'}"
78,Article 4,Section 4,Clause 1,Guarantee Clause,ArtIV.S4.1,"{'uuid': '1c08c21af0d041ecb23792128d0464cd', 'name': 'Clause 1', 'topic': 'Guarantee Clause', 'citation': 'ArtIV.S4.1'}"
79,Article 5,Section 1,Clause 1,The Amendment Process,ArtV.S1.1,"{'uuid': 'b972d0c630d645ccae6dc63e156b5a7c', 'name': 'Clause 1', 'topic': 'The Amendment Process', 'citation': 'ArtV.S1.1'}"
80,Article 6 ,Section 1,Clause 1,Prior Debts and Engagements,ArtVI.S1.C1,"{'uuid': '34569eba1ae1450ea19ed09c6fd0b919', 'name': 'Clause 1', 'topic': 'Prior Debts and Engagements', 'citation': 'ArtVI.S1.C1'}"
81,Article 6 ,Section 1,Clause 2,The Supremacy Clause,ArtVI.S1.C2,"{'uuid': '9e17507766244309bbdf03e9fddeecb5', 'name': 'Clause 2', 'topic': 'The Supremacy Clause', 'citation': 'ArtVI.S1.C2'}"
82,Article 6 ,Section 1,Clause 3,The Loyalty Clause,ArtVI.S1.C3,"{'uuid': 'b6ed38999f1b4c1ba0003ad0b5043df1', 'name': 'Clause 3', 'topic': 'The Loyalty Clause', 'citation': 'ArtVI.S1.C3'}"
83,Article 7 ,Section 1,Clause 1,Ratification Clause,ArtVII.S1.1,"{'uuid': '9aec81b51072458f8140aa0928b15d88', 'name': 'Clause 1', 'topic': 'Ratification Clause', 'citation': 'ArtVII.S1.1'}"
